              disk0       cpu
    KB/t  tps  MB/s  us sy id
   22.43  140  3.07  10  5 85
  376.73  819 301.15  41 28 31
   32.04 4050 126.70  30 12 58
    5.55  620  3.36  10  5 86
    9.68  246  2.33  27  7 65
   14.86   28  0.40  12  5 83
    8.09  890  7.03  14  6 80
   16.38   42  0.67  12  4 84
    8.66  534  4.52  12  5 83
   16.37   43  0.68  12  5 83
   10.49  110  1.13  11  6 84
   14.90   29  0.42  12  5 83
   11.68   50  0.57  11  5 84
   13.08   37  0.47  12  5 83
   10.42  265  2.70  14  6 80
   24.88  196  4.75  15  7 78
   39.19  335 12.82  14  5 81
   16.00   31  0.48  11  4 85
   13.62   42  0.56  10  3 87
    6.13  405  2.42  15  5 80
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    9.47  136  1.25  15  7 79
   14.40   30  0.42  10  4 86
   12.29   70  0.84  15  6 79
   13.00   36  0.46  21  6 72
   15.53  606  9.19  18  8 74
   14.81   37  0.53  20  4 76
   13.33   36  0.47  16  5 79
   17.90  218  3.82  15  6 79
   11.91   47  0.55  30  5 65
   11.26   38  0.42  18  5 76
    9.32   91  0.82  19  8 73
   10.98   43  0.46  18  6 75
   13.56   41  0.54  20  8 73
   12.85   47  0.59  22 10 69
   11.12   64  0.69  18  6 76
   13.33   36  0.47  18  6 76
   14.88   43  0.62  18  6 76
   16.00   24  0.37  30  5 65
    9.61   77  0.72  22  4 74
   15.64   56  0.85  17  3 79
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   10.69   55  0.57  19  5 76
   17.33   36  0.61  18  3 79
   13.52   66  0.87  20  4 77
   17.66   29  0.50  16  4 80
   13.02  326  4.14  22  3 75
   12.72   39  0.48  15  3 82
  141.27   63  8.66   8  3 88
   18.00   24  0.42   7  3 90
   11.48   46  0.51   7  3 89
    5.37  242  1.27   6  3 91
   11.44  157  1.76   9  5 86
   14.34   29  0.40   7  3 90
   12.60   40  0.49  12  4 84
   16.00   24  0.37   6  3 91
   20.19  355  7.00  11  6 84
   12.49   41  0.50   8  3 89
   13.78   36  0.48   8  3 89
    7.46  147  1.07  12  5 84
   14.55   58  0.82  10  4 86
   16.00   21  0.33  14  6 81
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   11.04   54  0.58  12  6 82
   11.82   90  1.04   8  3 88
   24.36   89  2.11  13  8 79
   19.11  205  3.83   6  4 90
    7.84  588  4.50  12  9 79
    8.78  704  6.04  12  9 78
    9.45  349  3.22  16  6 78
    9.23  549  4.95  19  4 77
   26.87  159  4.16  22  5 74
   27.94   67  1.82  22  7 70
   12.46  722  8.79  19  8 74
   28.00   45  1.23   8  4 89
   18.46  798 14.39  15  8 77
   14.25   48  0.67  10  5 85
   11.68   62  0.70  10  3 87
   11.50   56  0.63  11  5 84
   51.17   63  3.14  12  4 84
   13.26   35  0.45  10  4 86
    9.69  181  1.71   9  3 88
   11.74  155  1.78  14  7 79
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   12.28  301  3.61  17  9 73
   23.50   56  1.28  14  7 79
    9.80  619  5.93  16  6 78
   10.84  100  1.05  10  5 85
   13.90  516  7.01  10  7 83
   11.77   52  0.60  11  5 84
    8.90  115  1.00  19  3 77
    9.03  221  1.95  13  5 82
   15.56  225  3.42  13  6 81
   11.73   45  0.51  12  4 83
   29.76  100  2.89  18  9 74
    8.46  277  2.29   9  4 86
   18.26  760 13.54  13  6 81
   13.43   28  0.37  10  4 86
   11.16   57  0.62  12  4 84
   22.81  217  4.84  14  5 81
   12.00   48  0.56  12  6 83
   13.14  618  7.92  14  5 81
   11.57   92  1.03  13  5 82
    7.36  815  5.86   9  5 86
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   11.74   76  0.87  12  6 82
   14.83  266  3.85  16  7 78
   13.84  399  5.40  23 10 67
    7.02  190  1.30  17  9 74
    8.87 1840 15.94  16  9 75
   21.84 1364 29.09  30  7 63
   10.31 1193 12.02  30 10 60
   11.01 2324 24.98  23 10 66
    6.97   66  0.45  21  9 70
   11.20    5  0.05  15  5 80
   13.11  937 12.00  17 10 74
   14.00   10  0.14  17  7 77
   20.82 1494 30.39  18  9 72
    9.10  526  4.67  14  6 80
   12.47  540  6.58  21 10 69
    9.33   33  0.30  16  7 77
   15.86  143  2.21  14  6 79
   14.69   58  0.83  14  6 79
    7.69  181  1.36  14  6 80
    9.23   65  0.58  15  7 79
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    8.36   55  0.45  15  8 76
   12.49  178  2.17  16 10 73
   16.10 2464 38.74  14  9 77
   14.88  567  8.23  17  7 76
    5.84  230  1.31  16  6 78
    7.49  155  1.14  17  7 76
   16.69  555  9.04  19  9 72
   12.41 1934 23.45  33 12 54
    9.93  378  3.67  26  8 66
   11.76   84  0.96  25  7 68
    7.19   59  0.41  16  8 76
   11.01  189  2.04  12  5 83
   13.66  110  1.47  14  7 79
    0.00    0  0.00  14  6 80
    6.48  112  0.71  15  6 80
    8.56   57  0.47  13  5 82
   11.56   72  0.81  14  6 80
    6.09  368  2.19  13  6 81
    9.16   31  0.28  14  6 81
    5.70  379  2.11  15  8 77
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    7.16  100  0.70  15  8 77
   26.61   46  1.19  14  6 80
    9.19  681  6.12  16  8 76
   10.00   90  0.88  15  7 78
   14.19  482  6.68  11  8 81
    8.90   31  0.27   9  4 87
    8.57  134  1.12  10  5 85
   12.00   14  0.16  12  5 82
   99.78  403 39.30  12  5 83
   20.89  290  5.92  12  5 83
    7.99  326  2.54  14  7 78
    6.46   26  0.16   9  4 87
   14.73  197  2.84  10  4 86
   81.47   19  1.51  11  7 82
   16.56   36  0.58  11  3 86
   10.62   32  0.33   9  3 88
    6.42  427  2.68   9  4 88
    8.74  570  4.86  11  5 85
   16.14   28  0.44   9  3 88
   21.24   74  1.53  10  5 85
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   13.35   74  0.96   9  6 85
   10.20   60  0.60   8  3 88
   11.75   32  0.37  10  4 87
    0.00    0  0.00  10  4 85
   13.94   31  0.42  13  5 83
   12.81   64  0.80  15  6 79
   15.14   51  0.75  14  5 81
    4.98  277  1.35  14  6 80
    9.28  206  1.87  12  5 83
   19.38  110  2.08  11  7 82
    8.08   53  0.42  16  8 76
   11.20    5  0.05  15  7 78
   10.42  564  5.73  15  6 79
   10.01  295  2.89  11  5 83
   23.88  393  9.16  17  9 75
    9.12   32  0.28  16  6 78
   11.29   17  0.19  13  5 82
    8.67   12  0.10   9  4 87
   18.00   34  0.60  16  7 76
    9.07   15  0.13  14  5 81
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   18.07  169  2.99  15  9 76
   13.89   36  0.49  14  6 80
   17.59 1404 24.12  15  9 76
    5.37  197  1.03  14  6 79
    5.45   11  0.06  15  6 79
   16.72  200  3.26  17  7 76
   12.08 1035 12.21  18  8 74
    7.58 1070  7.92  19  9 72
    7.14  452  3.15  26 15 58
    5.83   46  0.26  10  5 86
    7.61   41  0.30  10  6 83
   11.08   13  0.14  10  5 85
   21.23   75  1.55  12  4 84
   11.16   19  0.21  12  3 85
    7.08  423  2.93  15  6 80
    9.74  218  2.07   9  3 88
    7.13   23  0.16  12  3 85
   13.18   34  0.44  14  4 82
    6.48  181  1.15  13  4 83
    7.99  610  4.76  30  6 64
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    7.53   60  0.44   9  5 86
    9.60   15  0.14   8  3 89
    9.51  595  5.52  10  4 86
    7.54  313  2.30   7  5 89
   13.16  326  4.19   8  6 86
    8.00   24  0.19   7  3 90
   82.78  564 45.58  10  3 87
    8.94   17  0.15  19  5 77
    5.57   23  0.12  28  5 68
   14.54  264  3.75  14  6 79
    7.93  271  2.09  21 12 67
    8.54  236  1.97  11  6 83
   20.14 1837 36.12  19 13 68
   20.19 1152 22.71  23 11 67
    8.65  123  1.04  15  6 80
   15.75   65  1.00  14  7 79
   14.25   64  0.89  16  8 77
    9.28  594  5.38  18  8 73
    5.56  419  2.28  14  8 78
    7.06  139  0.96  16  7 78
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    8.80  481  4.14  15  8 77
   10.45  507  5.18  22  9 69
   45.86  281 12.57  16  8 76
   12.93   69  0.87  12  6 82
    5.91  383  2.21  14  5 81
   10.46   82  0.84  14  5 81
   11.75   48  0.55  13  6 81
    8.30   54  0.44  12  5 83
    6.45  209  1.31  12  5 83
   10.53   38  0.39  12  5 83
